,Symbol,Expiry,Option Type,Strike Price,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Premium Turnover,Open Interest,Change in OI,Underlying,expiry_type,Date,value,days_to_expiry,IV
8070,ADANIPORTS,2016-08-25,PE,260.0,9.65,11.5,6.4,7.6,7.7,7.6,119,79812000.0,2462000.0,222500,87500,258.25,monthly,2016-08-12,258.25,13,35
8072,ADANIPORTS,2016-08-25,PE,270.0,11.7,11.7,4.65,5.05,4.65,5.05,325,224661000.0,5286000.0,360000,330000,273.55,monthly,2016-08-16,273.55,9,40
8074,ADANIPORTS,2016-08-25,PE,270.0,4.7,8.15,3.85,7.3,7.7,7.3,343,236300000.0,4775000.0,352500,-7500,267.65,monthly,2016-08-17,267.65,8,39
8076,ADANIPORTS,2016-08-25,PE,280.0,9.5,9.5,8.0,8.4,8.55,8.4,27,19499000.0,599000.0,25000,15000,275.45,monthly,2016-08-18,275.45,7,39
8078,ADANIPORTS,2016-08-25,PE,270.0,3.6,4.75,2.35,3.45,3.25,3.45,450,307680000.0,3930000.0,570000,-15000,273.05,monthly,2016-08-19,273.05,6,35
8080,ADANIPORTS,2016-08-25,PE,270.0,2.45,4.75,1.8,3.7,3.1,3.7,477,326301000.0,4326000.0,527500,-42500,270.55,monthly,2016-08-22,270.55,3,41
8082,ADANIPORTS,2016-08-25,PE,270.0,2.7,3.85,2.05,2.35,2.15,2.35,291,198560000.0,2135000.0,555000,27500,272.5,monthly,2016-08-23,272.5,2,43
8084,ADANIPORTS,2016-08-25,PE,270.0,2.25,2.95,1.7,1.95,1.85,1.95,295,200901000.0,1776000.0000000002,492500,-62500,270.1,monthly,2016-08-24,270.1,1,35
8556,ADANIPORTS,2016-09-29,PE,260.0,8.35,10.25,8.0,9.8,9.8,9.8,346,232408000.0,7508000.0,190000,-2500,258.7,monthly,2016-09-01,258.7,28,33
8558,ADANIPORTS,2016-09-29,PE,270.0,13.1,13.55,10.0,10.7,10.55,10.7,110,77227000.0,2977000.0,182500,110000,268.2,monthly,2016-09-02,268.2,27,35
8560,ADANIPORTS,2016-09-29,PE,270.0,9.55,10.3,8.75,9.1,9.1,9.1,123,85901000.0,2876000.0,230000,47500,270.6,monthly,2016-09-06,270.6,23,36
8562,ADANIPORTS,2016-09-29,PE,270.0,8.3,10.85,6.9,7.95,7.7,7.95,175,121960000.0,3835000.0,240000,10000,272.25,monthly,2016-09-07,272.25,22,35
8564,ADANIPORTS,2016-09-29,PE,280.0,12.75,13.1,10.4,11.0,11.1,11.0,20,14591999.999999998,592000.0,40000,7500,275.6,monthly,2016-09-08,275.6,21,34
8566,ADANIPORTS,2016-09-29,PE,270.0,7.35,8.4,6.55,7.6,7.55,7.6,261,181144000.0,4969000.0,242500,5000,272.2,monthly,2016-09-09,272.2,20,35
8568,ADANIPORTS,2016-09-29,PE,260.0,5.95,10.5,5.5,8.7,8.5,8.7,362,242792000.0,7492000.0,317500,12500,260.0,monthly,2016-09-12,260.0,17,40
8570,ADANIPORTS,2016-09-29,PE,260.0,9.55,9.55,4.9,5.45,4.9,5.45,101,67388000.0,1738000.0,352500,35000,264.7,monthly,2016-09-14,264.7,15,36
8572,ADANIPORTS,2016-09-29,PE,270.0,9.25,12.35,8.25,9.25,9.1,9.25,48,33558000.0,1158000.0,152500,15000,267.4,monthly,2016-09-15,267.4,14,38
8574,ADANIPORTS,2016-09-29,PE,270.0,7.3,7.5,5.0,6.85,6.7,6.85,180,124348000.0,2848000.0,245000,92500,271.15,monthly,2016-09-16,271.15,13,37
8576,ADANIPORTS,2016-09-29,PE,280.0,11.5,11.5,8.4,8.9,9.3,8.9,20,14471000.0,471000.0,45000,15000,276.15,monthly,2016-09-19,276.15,10,38
8578,ADANIPORTS,2016-09-29,PE,270.0,5.1,7.85,4.95,7.3,7.55,7.3,257,177446000.0,3971000.0,422500,87500,270.1,monthly,2016-09-20,270.1,9,44
8580,ADANIPORTS,2016-09-29,PE,270.0,7.3,7.5,4.5,6.95,6.8,6.95,140,96649000.0,2149000.0,430000,7500,269.7,monthly,2016-09-21,269.7,8,43
8582,ADANIPORTS,2016-09-29,PE,280.0,10.1,10.1,7.4,8.0,7.45,8.0,29,20912000.0,612000.0,52500,-15000,275.35,monthly,2016-09-22,275.35,7,36
8584,ADANIPORTS,2016-09-29,PE,280.0,7.15,8.95,6.35,7.7,7.5,7.7,28,20128000.0,528000.0,72500,20000,275.1,monthly,2016-09-23,275.1,6,35
8586,ADANIPORTS,2016-09-29,PE,270.0,3.5,4.5,2.75,3.8,3.8,3.8,185,126591000.0,1716000.0,375000,-67500,270.4,monthly,2016-09-26,270.4,3,41
8588,ADANIPORTS,2016-09-29,PE,260.0,0.5,1.4,0.5,1.15,1.2,1.15,277,180668000.0,618000.0,500000,-7500,264.7,monthly,2016-09-27,264.7,2,37
8590,ADANIPORTS,2016-09-29,PE,270.0,5.5,7.55,1.35,1.7,2.0,1.7,233,159597000.0,2322000.0,267500,-110000,,monthly,2016-09-28,271.0,1,39
8784,ADANIPORTS,2016-10-27,PE,260.0,9.0,10.05,8.0,8.6,8.5,8.6,94,63165000.0,2065000.0,97500,35000,264.5,monthly,2016-10-03,264.5,24,41
8786,ADANIPORTS,2016-10-27,PE,270.0,12.35,13.65,10.8,11.1,11.6,11.1,72,50743000.0,2143000.0,150000,-32500,268.7,monthly,2016-10-04,268.7,23,40
8788,ADANIPORTS,2016-10-27,PE,270.0,11.5,13.0,10.65,12.55,13.0,12.55,30,21146000.0,896000.0000000001,137500,-12500,265.45,monthly,2016-10-05,265.45,22,40
8790,ADANIPORTS,2016-10-27,PE,260.0,7.3,8.8,6.6,7.6,7.2,7.6,98,65642999.99999999,1943000.0,205000,-2500,264.9,monthly,2016-10-06,264.9,21,40
8792,ADANIPORTS,2016-10-27,PE,270.0,13.0,13.0,10.6,10.6,10.6,10.6,25,17607000.0,732000.0,157500,15000,266.85,monthly,2016-10-07,266.85,20,37
8794,ADANIPORTS,2016-10-27,PE,260.0,5.8,6.75,5.75,6.45,6.3,6.45,42,27957000.0,657000.0,227500,-2500,264.0,monthly,2016-10-10,264.0,17,37
8796,ADANIPORTS,2016-10-27,PE,250.0,3.8,8.4,3.8,7.55,7.4,7.55,185,118474000.0,2849000.0,237500,27500,251.1,monthly,2016-10-13,251.1,14,42
8798,ADANIPORTS,2016-10-27,PE,250.0,6.35,7.3,4.95,5.5,4.95,5.5,136,87088000.0,2088000.0,295000,57500,254.35,monthly,2016-10-14,254.35,13,40
8800,ADANIPORTS,2016-10-27,PE,250.0,6.35,7.75,6.0,7.2,6.35,7.2,196,125857000.0,3357000.0,342500,47500,250.75,monthly,2016-10-17,250.75,10,46
8802,ADANIPORTS,2016-10-27,PE,270.0,17.5,17.5,8.1,8.7,8.5,8.7,46,32220000.0,1170000.0,132500,25000,267.0,monthly,2016-10-18,267.0,9,43
8804,ADANIPORTS,2016-10-27,PE,270.0,9.2,11.05,6.15,7.05,7.0,7.05,187,130123000.0,3898000.0,272500,140000,271.6,monthly,2016-10-19,271.6,8,49
8806,ADANIPORTS,2016-10-27,PE,290.0,13.2,13.25,10.0,10.2,10.2,10.2,10,7541000.0,291000.0,12500,10000,285.25,monthly,2016-10-20,285.25,7,48
8808,ADANIPORTS,2016-10-27,PE,290.0,9.75,11.55,8.95,9.15,9.15,9.15,118,88472000.0,2922000.0,227500,215000,285.75,monthly,2016-10-21,285.75,6,47
8810,ADANIPORTS,2016-10-27,PE,290.0,9.75,10.3,4.65,9.4,8.0,9.4,471,349061000.0,7586000.0,545000,317500,285.65,monthly,2016-10-24,285.65,3,68
8812,ADANIPORTS,2016-10-27,PE,310.0,8.5,8.5,2.6,3.6,4.3,3.6,941,739652000.0,10377000.0,637500,637500,312.8,monthly,2016-10-25,312.8,2,53
8814,ADANIPORTS,2016-10-27,PE,310.0,3.95,11.0,2.0,6.7,6.05,6.7,702,553112000.0,9062000.0,317500,-320000,305.1,monthly,2016-10-26,305.1,1,58
9260,ADANIPORTS,2016-11-24,PE,310.0,13.4,15.8,12.5,14.2,14.2,14.2,23,18631000.0,806000.0,100000,5000,305.15,monthly,2016-11-01,305.15,23,39
9262,ADANIPORTS,2016-11-24,PE,300.0,12.45,12.65,9.8,11.45,11.15,11.45,366,284742000.0,10242000.0,537500,-287500,299.9,monthly,2016-11-02,299.9,22,40
9264,ADANIPORTS,2016-11-24,PE,290.0,6.8,12.25,6.4,11.45,10.85,11.45,439,328517000.0,10242000.0,362500,-167500,288.2,monthly,2016-11-03,288.2,21,39
9266,ADANIPORTS,2016-11-24,PE,290.0,12.55,13.1,9.7,11.2,11.1,11.2,135,101660000.0,3785000.0,315000,-47500,287.7,monthly,2016-11-04,287.7,20,38
9268,ADANIPORTS,2016-11-24,PE,290.0,7.6,9.55,7.25,8.8,9.2,8.8,144,107528000.0,3128000.0,310000,-5000,293.5,monthly,2016-11-07,293.5,17,42
9270,ADANIPORTS,2016-11-24,PE,290.0,8.35,12.2,8.3,10.4,9.95,10.4,187,140514000.0,4939000.0,410000,100000,289.85,monthly,2016-11-08,289.85,16,43
9272,ADANIPORTS,2016-11-24,PE,280.0,17.6,20.55,7.45,7.85,8.0,7.85,144,105558000.0,4758000.0,392500,-15000,282.4,monthly,2016-11-09,282.4,15,40
9274,ADANIPORTS,2016-11-24,PE,290.0,10.5,10.5,5.75,7.15,7.2,7.15,189,140308000.0,3283000.0,370000,-30000,294.55,monthly,2016-11-10,294.55,14,41
9276,ADANIPORTS,2016-11-24,PE,280.0,5.35,12.25,4.35,10.7,9.5,10.7,250,179787000.0,4787000.0,362500,-50000,276.75,monthly,2016-11-11,276.75,13,44
9278,ADANIPORTS,2016-11-24,PE,270.0,4.9,15.85,4.9,11.15,12.45,11.15,142,99599000.0,3749000.0,225000,10000,266.65,monthly,2016-11-15,266.65,9,56
9280,ADANIPORTS,2016-11-24,PE,270.0,8.75,13.0,8.7,11.8,12.6,11.8,36,25320000.0,1020000.0,215000,-10000,265.25,monthly,2016-11-16,265.25,8,59
9282,ADANIPORTS,2016-11-24,PE,260.0,5.85,6.5,4.35,4.95,4.8,4.95,184,122077000.0,2477000.0,237500,35000,264.6,monthly,2016-11-17,264.6,7,49
9284,ADANIPORTS,2016-11-24,PE,260.0,5.15,7.0,3.25,4.65,3.25,4.65,170,112531000.0,2031000.0,197500,-40000,261.9,monthly,2016-11-18,261.9,6,42
9286,ADANIPORTS,2016-11-24,PE,260.0,4.1,15.1,3.25,7.85,5.0,7.85,160,107358000.0,3358000.0,165000,-32500,255.7,monthly,2016-11-21,255.7,3,58
9288,ADANIPORTS,2016-11-24,PE,260.0,5.0,5.7,2.5,3.2,2.85,3.2,205,135478000.0,2228000.0,167500,2500,260.8,monthly,2016-11-22,260.8,2,46
9290,ADANIPORTS,2016-11-24,PE,260.0,2.1,4.3,1.3,1.5,1.7,1.5,178,116734000.0,1034000.0,252500,85000,263.7,monthly,2016-11-23,263.7,1,54
9668,ADANIPORTS,2016-12-29,PE,280.0,12.8,16.3,12.8,14.3,14.3,14.3,30,22115000.0,1115000.0,112500,7500,275.1,monthly,2016-12-01,275.1,28,40
9670,ADANIPORTS,2016-12-29,PE,270.0,10.45,13.4,9.65,12.8,12.7,12.8,88,61903000.0,2503000.0,102500,-22500,265.9,monthly,2016-12-02,265.9,27,38
9672,ADANIPORTS,2016-12-29,PE,270.0,10.25,14.35,9.7,11.4,11.4,11.4,60,42313000.0,1813000.0,110000,7500,268.7,monthly,2016-12-05,268.7,24,40
9674,ADANIPORTS,2016-12-29,PE,270.0,9.1,10.2,8.9,9.5,9.55,9.5,35,24461000.0,836000.0,135000,25000,271.9,monthly,2016-12-06,271.9,23,40
9676,ADANIPORTS,2016-12-29,PE,280.0,13.55,13.55,10.0,11.1,11.1,11.1,41,29889000.0,1189000.0,125000,15000,277.4,monthly,2016-12-07,277.4,22,37
9678,ADANIPORTS,2016-12-29,PE,290.0,14.1,14.25,10.05,10.95,10.9,10.95,43,32436000.0,1261000.0,85000,32500,287.1,monthly,2016-12-08,287.1,21,35
9680,ADANIPORTS,2016-12-29,PE,290.0,9.35,11.55,9.2,11.55,11.55,11.55,21,15760000.0,535000.0,87500,2500,285.65,monthly,2016-12-09,285.65,20,36
9682,ADANIPORTS,2016-12-29,PE,280.0,8.1,9.5,7.0,8.1,7.85,8.1,65,46832000.0,1332000.0,172500,-47500,281.35,monthly,2016-12-12,281.35,17,37
9684,ADANIPORTS,2016-12-29,PE,290.0,12.0,12.0,10.05,10.15,10.1,10.15,10,7519000.0,269000.0,90000,12500,286.0,monthly,2016-12-13,286.0,16,34
9686,ADANIPORTS,2016-12-29,PE,280.0,5.7,7.25,5.5,6.7,6.65,6.7,27,19350000.0,450000.0,232500,20000,283.85,monthly,2016-12-14,283.85,15,38
9688,ADANIPORTS,2016-12-29,PE,280.0,4.95,6.4,4.55,6.05,5.85,6.05,120,85650000.0,1650000.0,225000,-7500,284.25,monthly,2016-12-15,284.25,14,37
9690,ADANIPORTS,2016-12-29,PE,280.0,5.85,7.75,5.85,7.05,7.1,7.05,107,76782000.0,1882000.0,217500,-7500,280.25,monthly,2016-12-16,280.25,13,35
9692,ADANIPORTS,2016-12-29,PE,280.0,8.0,8.9,7.2,7.65,7.85,7.65,63,45351000.0,1251000.0,185000,-32500,276.45,monthly,2016-12-19,276.45,10,32
9694,ADANIPORTS,2016-12-29,PE,270.0,3.9,5.5,3.5,3.85,3.5,3.85,195,133669000.0,2044000.0,235000,-47500,272.4,monthly,2016-12-20,272.4,9,30
9696,ADANIPORTS,2016-12-29,PE,270.0,3.25,4.3,2.45,2.95,3.15,2.95,91,62160000.0,735000.0,262500,27500,274.2,monthly,2016-12-21,274.2,8,30
9698,ADANIPORTS,2016-12-29,PE,260.0,1.05,3.8,1.05,2.8,2.65,2.8,286,187688000.0,1788000.0,272500,-77500,263.55,monthly,2016-12-22,263.55,7,30
9700,ADANIPORTS,2016-12-29,PE,260.0,3.6,4.75,1.6,2.65,2.6,2.65,281,184894000.0,2244000.0,255000,-17500,262.9,monthly,2016-12-23,262.9,6,30
9702,ADANIPORTS,2016-12-29,PE,260.0,4.0,5.0,3.4,3.75,4.0,3.75,133,87836000.0,1386000.0,247500,-7500,260.0,monthly,2016-12-26,260.0,3,40
9704,ADANIPORTS,2016-12-29,PE,270.0,8.35,8.6,4.1,4.45,4.35,4.45,44,30325000.0,625000.0,180000,2500,266.95,monthly,2016-12-27,266.95,2,34
9706,ADANIPORTS,2016-12-29,PE,270.0,3.4,4.4,2.0,3.5,3.5,3.5,67,45775000.0,550000.0,197500,17500,268.5,monthly,2016-12-28,268.5,1,48
10004,ADANIPORTS,2017-02-23,PE,300.0,14.5,15.65,8.8,9.3,9.15,9.3,145,113002000.0,4252000.0,207500,2500,304.6,monthly,2017-02-01,304.6,22,40
10006,ADANIPORTS,2017-02-23,PE,300.0,9.15,10.5,8.35,9.4,10.0,9.4,194,150114000.0,4614000.0,227500,20000,304.15,monthly,2017-02-02,304.15,21,40
10008,ADANIPORTS,2017-02-23,PE,300.0,10.45,10.55,7.2,9.35,8.9,9.35,158,121993000.0,3493000.0,255000,27500,303.55,monthly,2017-02-03,303.55,20,40
10010,ADANIPORTS,2017-02-23,PE,310.0,13.5,14.8,10.95,11.8,11.9,11.8,42,33830000.0,1280000.0,130000,32500,309.2,monthly,2017-02-06,309.2,17,44
10012,ADANIPORTS,2017-02-23,PE,300.0,7.45,10.35,7.45,9.3,9.15,9.3,129,99522000.0,2772000.0,242500,22500,303.65,monthly,2017-02-07,303.65,16,44
10014,ADANIPORTS,2017-02-23,PE,310.0,14.9,16.75,13.0,13.15,13.25,13.15,24,19488000.0,888000.0000000001,135000,12500,305.55,monthly,2017-02-08,305.55,15,44
10016,ADANIPORTS,2017-02-23,PE,300.0,7.95,9.75,7.7,8.05,7.75,8.05,103,79469000.0,2219000.0,307500,37500,304.8,monthly,2017-02-09,304.8,14,44
10018,ADANIPORTS,2017-02-23,PE,310.0,12.25,12.25,9.1,9.45,9.35,9.45,183,146370000.0,4545000.0,215000,87500,311.25,monthly,2017-02-10,311.25,13,44
10020,ADANIPORTS,2017-02-23,PE,310.0,8.75,12.35,7.85,9.5,9.25,9.5,189,151109000.0,4634000.0,222500,7500,309.55,monthly,2017-02-13,309.55,10,46
10022,ADANIPORTS,2017-02-23,PE,310.0,8.95,9.1,5.5,8.25,8.0,8.25,1048,830715000.0,18515000.0,257500,35000,307.0,monthly,2017-02-14,307.0,9,35
10024,ADANIPORTS,2017-02-23,PE,300.0,3.3,7.35,2.35,6.3,6.1,6.3,771,587447000.0,9197000.0,320000,-197500,299.95,monthly,2017-02-15,299.95,8,36
10026,ADANIPORTS,2017-02-23,PE,300.0,6.05,9.1,4.25,5.7,5.25,5.7,276,211365000.0,4365000.0,292500,-27500,298.6,monthly,2017-02-16,298.6,7,31
10028,ADANIPORTS,2017-02-23,PE,300.0,4.75,6.9,4.75,6.25,6.5,6.25,197,150685000.0,2935000.0,315000,22500,297.25,monthly,2017-02-17,297.25,6,32
10030,ADANIPORTS,2017-02-23,PE,300.0,6.45,6.5,3.6,4.35,4.35,4.35,196,149190000.0,2190000.0,317500,2500,300.3,monthly,2017-02-20,300.3,3,41
10032,ADANIPORTS,2017-02-23,PE,300.0,4.5,4.5,1.9,2.3,2.6,2.3,265,200926000.0,2176000.0,382500,65000,304.15,monthly,2017-02-21,304.15,2,45
10034,ADANIPORTS,2017-02-23,PE,300.0,2.35,4.2,1.25,2.95,2.6,2.95,356,269270000.0,2270000.0,347500,-35000,300.3,monthly,2017-02-22,300.3,1,49
10140,ADANIPORTS,2017-03-30,PE,300.0,10.0,11.25,9.5,10.15,10.2,10.15,105,81376000.0,2626000.0,162500,55000,302.5,monthly,2017-03-01,302.5,29,35
10142,ADANIPORTS,2017-03-30,PE,290.0,7.05,9.75,5.75,9.35,9.2,9.35,124,92138000.0,2238000.0,135000,0,293.85,monthly,2017-03-02,293.85,28,36
10144,ADANIPORTS,2017-03-30,PE,300.0,15.2,15.2,12.65,12.75,12.65,12.75,44,34521000.0,1521000.0,132500,0,296.35,monthly,2017-03-03,296.35,27,35
10146,ADANIPORTS,2017-03-30,PE,300.0,11.8,12.2,8.65,9.2,8.65,9.2,53,41107000.0,1357000.0,175000,42500,303.15,monthly,2017-03-06,303.15,24,36
10148,ADANIPORTS,2017-03-30,PE,310.0,13.45,13.85,11.5,11.7,11.55,11.7,36,29003000.0,1103000.0,72500,32500,308.25,monthly,2017-03-07,308.25,23,36
10150,ADANIPORTS,2017-03-30,PE,310.0,13.0,15.65,12.0,12.2,12.0,12.2,11,8908000.0,383000.0,67500,-5000,306.5,monthly,2017-03-08,306.5,22,36
10152,ADANIPORTS,2017-03-30,PE,300.0,8.15,10.5,7.8,9.65,9.55,9.65,119,92055000.0,2805000.0,177500,22500,300.9,monthly,2017-03-09,300.9,21,36
10154,ADANIPORTS,2017-03-30,PE,300.0,8.2,11.35,7.75,10.4,11.0,10.4,148,114621000.0,3621000.0,222500,45000,298.8,monthly,2017-03-10,298.8,20,36
10156,ADANIPORTS,2017-03-30,PE,310.0,12.4,12.55,8.5,9.1,9.25,9.1,53,42394000.0,1319000.0,112500,62500,309.25,monthly,2017-03-14,309.25,16,35
10158,ADANIPORTS,2017-03-30,PE,310.0,8.2,8.55,7.2,8.35,8.25,8.35,88,69940000.0,1739999.9999999998,120000,7500,310.3,monthly,2017-03-15,310.3,15,35
10160,ADANIPORTS,2017-03-30,PE,330.0,14.0,14.5,9.85,10.35,10.4,10.35,32,27343000.0,943000.0,57500,50000,325.7,monthly,2017-03-16,325.7,14,32
10162,ADANIPORTS,2017-03-30,PE,330.0,11.15,13.15,9.7,10.05,10.45,10.05,57,48631000.0,1605999.9999999998,90000,32500,325.4,monthly,2017-03-17,325.4,13,31
10164,ADANIPORTS,2017-03-30,PE,330.0,8.45,9.95,7.7,9.1,9.1,9.1,34,28781000.0,731000.0,120000,30000,325.45,monthly,2017-03-20,325.45,10,31
10166,ADANIPORTS,2017-03-30,PE,330.0,9.6,12.0,7.95,8.35,8.05,8.35,57,48419000.0,1394000.0,150000,30000,325.75,monthly,2017-03-21,325.75,9,30
10168,ADANIPORTS,2017-03-30,PE,320.0,5.0,5.95,4.2,4.5,4.4,4.5,179,145419000.0,2219000.0,372500,10000,323.65,monthly,2017-03-22,323.65,8,33
10170,ADANIPORTS,2017-03-30,PE,330.0,9.5,9.5,7.1,7.4,7.1,7.4,53,44810000.0,1085000.0,175000,27500,325.6,monthly,2017-03-23,325.6,7,28
10172,ADANIPORTS,2017-03-30,PE,320.0,2.8,3.85,2.35,3.05,3.15,3.05,261,210884000.0,2084000.0,497500,12500,323.25,monthly,2017-03-24,323.25,6,27
10174,ADANIPORTS,2017-03-30,PE,320.0,3.4,5.0,3.0,3.75,3.85,3.75,377,305381000.0,3781000.0,440000,-57500,319.3,monthly,2017-03-27,319.3,3,29
10176,ADANIPORTS,2017-03-30,PE,320.0,3.5,3.5,2.1,2.5,2.6,2.5,176,141978000.0,1178000.0,370000,-70000,320.85,monthly,2017-03-28,320.85,2,31
10178,ADANIPORTS,2017-03-30,PE,320.0,2.8,4.3,1.55,1.7,1.65,1.7,173,139605000.0,1205000.0,355000,-15000,321.0,monthly,2017-03-29,321.0,1,33
10644,ADANIPORTS,2017-04-27,PE,340.0,12.15,12.15,9.85,10.3,9.85,10.3,111,97477000.0,3127000.0,160000,27500,342.1,monthly,2017-04-03,342.1,24,33
10646,ADANIPORTS,2017-04-27,PE,360.0,20.2,20.2,11.85,12.1,12.0,12.1,33,30797000.000000004,1097000.0,60000,55000,358.15,monthly,2017-04-05,358.15,22,33
10648,ADANIPORTS,2017-04-27,PE,360.0,13.15,15.0,11.4,12.05,11.9,12.05,44,41104000.0,1504000.0,65000,5000,356.65,monthly,2017-04-06,356.65,21,31
10650,ADANIPORTS,2017-04-27,PE,350.0,9.65,11.7,8.45,10.95,10.4,10.95,387,348269000.0,9644000.0,225000,-87500,347.15,monthly,2017-04-07,347.15,20,30
10652,ADANIPORTS,2017-04-27,PE,350.0,11.05,11.55,7.9,8.55,8.15,8.55,109,97837000.0,2462000.0,260000,35000,352.15,monthly,2017-04-10,352.15,17,32
10654,ADANIPORTS,2017-04-27,PE,330.0,2.35,9.45,2.35,7.65,7.7,7.65,621,522046000.0,9721000.0,347500,-37500,333.8,monthly,2017-04-11,333.8,16,35
10656,ADANIPORTS,2017-04-27,PE,330.0,8.65,12.25,6.95,9.9,9.7,9.9,564,478676000.0,13376000.0,387500,40000,327.6,monthly,2017-04-12,327.6,15,33
10658,ADANIPORTS,2017-04-27,PE,320.0,6.6,9.35,6.45,7.75,8.0,7.75,493,404175000.0,9775000.0,395000,-5000,320.45,monthly,2017-04-13,320.45,14,33
10660,ADANIPORTS,2017-04-27,PE,320.0,7.3,8.65,5.0,7.75,8.05,7.75,378,308892000.0,6492000.0,382500,-12500,320.0,monthly,2017-04-17,320.0,10,37
10662,ADANIPORTS,2017-04-27,PE,320.0,6.8,8.75,3.15,8.35,8.4,8.35,693,563313000.0,8913000.0,545000,162500,319.35,monthly,2017-04-18,319.35,9,41
10664,ADANIPORTS,2017-04-27,PE,330.0,11.45,14.15,8.65,9.45,8.65,9.45,82,69966000.0,2316000.0,267500,-37500,325.8,monthly,2017-04-19,325.8,8,38
10666,ADANIPORTS,2017-04-27,PE,330.0,7.45,9.9,5.25,5.8,5.25,5.8,259,218061000.0,4386000.0,257500,-10000,332.4,monthly,2017-04-20,332.4,7,38
10668,ADANIPORTS,2017-04-27,PE,330.0,5.0,9.4,4.85,7.65,7.15,7.65,196,164886000.0,3186000.0,267500,10000,326.0,monthly,2017-04-21,326.0,6,33
10670,ADANIPORTS,2017-04-27,PE,330.0,5.8,5.95,3.65,4.5,4.2,4.5,254,212449000.0,2899000.0,232500,-35000,331.0,monthly,2017-04-24,331.0,3,41
10672,ADANIPORTS,2017-04-27,PE,330.0,3.8,6.5,2.9,3.25,3.15,3.25,281,234712000.0,2887000.0,272500,40000,331.35,monthly,2017-04-25,331.35,2,40
10674,ADANIPORTS,2017-04-27,PE,320.0,0.75,4.75,0.55,1.8,1.9,1.8,894,720592000.0,5392000.0,615000,-7500,323.5,monthly,2017-04-26,323.5,1,48
10984,ADANIPORTS,2017-05-25,PE,330.0,12.0,12.0,9.75,10.7,10.5,10.7,84,71561000.0,2261000.0,125000,67500,330.6,monthly,2017-05-02,330.6,23,34
10986,ADANIPORTS,2017-05-25,PE,330.0,11.3,13.0,10.8,11.4,11.35,11.4,29,24777000.0,852000.0,125000,0,327.45,monthly,2017-05-03,327.45,22,32
10988,ADANIPORTS,2017-05-25,PE,340.0,12.7,12.7,10.85,11.15,11.45,11.15,22,19331000.0,631000.0,72500,25000,339.45,monthly,2017-05-04,339.45,21,35
10990,ADANIPORTS,2017-05-25,PE,340.0,11.55,12.4,7.85,8.35,8.7,8.35,124,108483000.0,3083000.0,127500,55000,344.95,monthly,2017-05-05,344.95,20,34
10992,ADANIPORTS,2017-05-25,PE,340.0,8.05,11.0,8.05,9.1,9.2,9.1,117,102401000.0,2951000.0,142500,15000,340.5,monthly,2017-05-08,340.5,17,33
10994,ADANIPORTS,2017-05-25,PE,350.0,14.3,14.3,10.4,11.95,12.0,11.95,28,25311000.0,811000.0,92500,40000,347.5,monthly,2017-05-09,347.5,16,38
10996,ADANIPORTS,2017-05-25,PE,350.0,10.8,11.0,8.4,8.55,8.4,8.55,125,112217000.0,2842000.0,237500,145000,351.9,monthly,2017-05-10,351.9,15,34
10998,ADANIPORTS,2017-05-25,PE,360.0,13.15,14.05,8.5,9.45,10.35,9.45,48,44443000.0,1243000.0,120000,50000,360.05,monthly,2017-05-11,360.05,14,34
11000,ADANIPORTS,2017-05-25,PE,360.0,11.0,12.2,9.9,10.0,9.9,10.0,32,29694000.0,894000.0,132500,12500,357.95,monthly,2017-05-12,357.95,13,34
11002,ADANIPORTS,2017-05-25,PE,360.0,10.0,12.7,9.25,9.4,9.5,9.4,90,83608000.0,2608000.0,155000,22500,356.2,monthly,2017-05-15,356.2,10,32
11004,ADANIPORTS,2017-05-25,PE,350.0,6.25,6.65,4.7,5.8,6.5,5.8,162,144123000.0,2373000.0,422500,-32500,354.5,monthly,2017-05-16,354.5,9,36
11006,ADANIPORTS,2017-05-25,PE,350.0,6.45,7.75,5.75,7.25,7.2,7.25,184,164262000.0,3261999.9999999995,362500,-60000,348.55,monthly,2017-05-17,348.55,8,32
11008,ADANIPORTS,2017-05-25,PE,350.0,9.2,9.75,3.7,7.75,8.0,7.75,306,272560000.0,4810000.0,335000,-27500,347.9,monthly,2017-05-18,347.9,7,35
11010,ADANIPORTS,2017-05-25,PE,350.0,6.35,8.6,5.9,6.45,6.25,6.45,149,132961000.0,2586000.0,320000,-15000,349.45,monthly,2017-05-19,349.45,6,35
11012,ADANIPORTS,2017-05-25,PE,350.0,6.25,6.25,3.3,4.3,4.3,4.3,343,303851000.0,3726000.0,312500,-7500,354.45,monthly,2017-05-22,354.45,3,49
11014,ADANIPORTS,2017-05-25,PE,330.0,0.65,7.85,0.65,6.55,6.4,6.55,980,819294000.0,10794000.0,410000,125000,331.65,monthly,2017-05-23,331.65,2,75
11016,ADANIPORTS,2017-05-25,PE,340.0,7.4,13.45,3.4,4.55,3.8,4.55,671,582807000.0,12457000.0,380000,35000,339.65,monthly,2017-05-24,339.65,1,62
11272,ADANIPORTS,2017-06-29,PE,350.0,17.5,17.5,11.35,12.3,11.35,12.3,35,31820000.0,1195000.0,160000,40000,349.2,monthly,2017-06-01,349.2,28,32
