,Symbol,Date,Expiry Date,Underlying,Strike Price,Straddle,Straddle %,Call IV,Put IV,R-VOL 7,R-VOL 20,R-VOL 100,Hist_RV,Edge,Year Corr.(NF),60 day Corr.(NF),Year Corr.(BNK),60 day Corr.(BNK),Edge 2,Hist Straddle
108,BRITANNIA,2022-04-05,28-Apr-2022,3270.0,3260.0,165.0,5.045871559633028,20.45,25.15,11.53,34.93,23.76,11.06,2.78,36.05,59.46,,,1.8258715596330277,3.22
109,TATAMOTORS,2022-04-05,26-May-2022,446.8,450.0,57.25,12.813339301700985,40.37,44.51,11.43,32.76,42.27,21.51,8.49,61.35,85.24,,,3.8533393017009843,8.96
110,TATAMOTORS,2022-04-05,28-Apr-2022,446.8,450.0,37.6,8.415398388540734,39.88,41.19,11.43,32.76,42.27,21.51,4.09,61.35,85.24,,,-0.5446016114592673,8.96
111,TATAMOTORS,2022-04-05,30-Jun-2022,446.8,450.0,0.0,0.0,36.8,0,11.43,32.76,42.27,21.51,-4.33,61.35,85.24,,,-8.96,8.96
112,TATACONSUM,2022-04-05,26-May-2022,787.0,790.0,55.3,7.026683608640407,0,0,19.37,30.22,31.43,13.81,4.26,53.94,68.32,,,1.766683608640407,5.26
113,TATACONSUM,2022-04-05,28-Apr-2022,787.0,790.0,56.2,7.141041931385008,33.84,35.18,19.37,30.22,31.43,13.81,4.37,53.94,68.32,,,1.881041931385008,5.26
114,BPCL,2022-04-05,26-May-2022,379.45,380.0,20.35,5.363025431545658,0,0,24.58,30.33,31.72,13.06,2.75,54.33,63.68,,,1.203025431545658,4.16
115,BPCL,2022-04-05,28-Apr-2022,379.45,380.0,21.25,5.600210831466597,25.05,28.92,24.58,30.33,31.72,13.06,2.98,54.33,63.68,,,1.4402108314665965,4.16
116,BPCL,2022-04-05,30-Jun-2022,379.45,380.0,,,0,,24.58,30.33,31.72,13.06,,54.33,63.68,,,,4.16
117,SHREECEM,2022-04-05,28-Apr-2022,24645.45,24750.0,2879.85,11.685118348417253,0,0,16.76,27.7,30.95,14.26,8.83,58.47,71.69,,,6.955118348417253,4.73
118,NTPC,2022-04-05,28-Apr-2022,144.4,144.0,7.3,5.055401662049862,23.72,25.05,32.16,24.2,27.98,12.81,2.45,45.18,57.46,,,0.23540166204986157,4.82
119,POWERGRID,2022-04-05,28-Apr-2022,227.25,227.5,11.6,5.104510451045105,22.02,27.18,24.15,25.04,29.13,14.08,2.28,31.91,47.94,,,1.3145104510451047,3.79
120,NESTLEIND,2022-04-05,28-Apr-2022,17770.0,17800.0,421.95,2.3745075970737197,18.19,0,21.48,24.79,18.48,9.8,0.41,30.79,47.1,,,-0.8154924029262802,3.19
